"","UniID","mom","ID","temp","active","instar","dur_class","Mo","year"
"416","8 26","8",26,23,"y",5,6,42.6,"2024"
"417","8 26","8",26,23,"y",5,24,42.6,"2024"
"418","8 27","8",27,23,"y",5,0,38.75,"2024"
"419","8 27","8",27,23,"y",5,6,38.75,"2024"
"420","8 27","8",27,23,"y",5,24,38.75,"2024"
"421","8 29","8",29,23,"y",5,0,41.32,"2024"
"422","8 29","8",29,23,"y",5,6,41.32,"2024"
"423","8 29","8",29,23,"y",5,24,41.32,"2024"
"424","8 30","8",30,23,"y",5,0,35.42,"2024"
"425","8 30","8",30,23,"y",5,6,35.42,"2024"
"426","8 30","8",30,23,"y",5,24,35.42,"2024"
"427","8 32","8",32,23,"y",4,0,10.05,"2024"
"428","8 32","8",32,23,"y",4,6,10.05,"2024"
"429","8 32","8",32,23,"y",4,24,10.05,"2024"
"430","8 33","8",33,23,"y",4,0,10.57,"2024"
"431","8 33","8",33,23,"y",4,6,10.57,"2024"
"432","8 33","8",33,23,"y",4,24,10.57,"2024"
"433","8 34","8",34,23,"y",4,0,19.93,"2024"
"434","8 34","8",34,23,"y",4,6,19.93,"2024"
"435","8 34","8",34,23,"y",4,24,19.93,"2024"
"436","8 35","8",35,23,"y",4,0,8.57,"2024"
"437","8 35","8",35,23,"y",4,6,8.57,"2024"
"438","8 35","8",35,23,"y",4,24,8.57,"2024"
"439","8 36","8",36,40,"y",5,0,38.4,"2024"
"440","8 36","8",36,40,"y",5,6,38.4,"2024"
"441","8 36","8",36,40,"y",5,24,38.4,"2024"
"442","8 37","8",37,40,"y",5,0,52.63,"2024"
"443","8 37","8",37,40,"y",5,6,52.63,"2024"
"444","8 37","8",37,40,"y",5,24,52.63,"2024"
"445","8 38","8",38,40,"y",5,0,36.89,"2024"
"446","8 38","8",38,40,"y",5,6,36.89,"2024"
"447","8 38","8",38,40,"y",5,24,36.89,"2024"
"448","8 39","8",39,40,"y",5,0,49.04,"2024"
"449","8 39","8",39,40,"y",5,6,49.04,"2024"
"450","8 39","8",39,40,"y",5,24,49.04,"2024"
"451","8 40","8",40,40,"y",5,0,64.09,"2024"
"452","8 40","8",40,40,"y",5,6,64.09,"2024"
"453","8 40","8",40,40,"y",5,24,64.09,"2024"
"454","8 41","8",41,40,"y",5,0,59.52,"2024"
"455","8 41","8",41,40,"y",5,6,59.52,"2024"
"456","8 41","8",41,40,"y",5,24,59.52,"2024"
"457","8 42","8",42,40,"y",5,0,36.75,"2024"
"458","8 42","8",42,40,"y",5,6,36.75,"2024"
"459","8 42","8",42,40,"y",5,24,36.75,"2024"
"460","8 43","8",43,40,"y",5,0,53.46,"2024"
"461","8 43","8",43,40,"y",5,6,53.46,"2024"
"462","8 43","8",43,40,"y",5,24,53.46,"2024"
"463","8 44","8",44,40,"y",5,0,57.86,"2024"
"464","8 44","8",44,40,"y",5,6,57.86,"2024"
"465","8 44","8",44,40,"y",5,24,57.86,"2024"
"466","8 45","8",45,40,"y",5,0,41.2,"2024"
"467","8 45","8",45,40,"y",5,6,41.2,"2024"
"468","8 45","8",45,40,"y",5,24,41.2,"2024"
"469","8 46","8",46,40,"y",5,0,32.27,"2024"
"470","8 46","8",46,40,"y",5,6,32.27,"2024"
"471","8 46","8",46,40,"y",5,24,32.27,"2024"
"472","8 47","8",47,40,"y",5,0,31.35,"2024"
"473","8 47","8",47,40,"y",5,6,31.35,"2024"
"474","8 47","8",47,40,"y",5,24,31.35,"2024"
"475","8 48","8",48,41,"y",5,0,60.33,"2024"
